titlu,Latitude nordica,Longitudine estica,program,taxa,Accesibil pentru persoane cu dizabilit??i ,Curatenie,tip,
Soseaua Pantelimon x sos Vergului,"44°26'28.88""","26°10'55.45""",Non-stop,NU,DA,2,Automat?,
"Parc Ronda , strada Ronda nr. FN","44°26'13.1""","26°07'30.3""",Non-stop,NU,NU,5,Automat?,
"Parc Dabija , Pia?a Dabija Nicolae General Nr. FN","44°26'12.37""","26°07'02.28""",Non-stop,NU,NU,5,Automat?,
"Parc Ioanid , intrarea loanid Gheorghe Pictor nr. 5","44°26'44.67""","26°06'16.39""",Non-stop,NU,NU,5,Automat?,
"Parc Sticl?riei , ?oseaua Vergului 503-505",44°26'04.20'',26°08'53.20'',Non-stop,NU,NU,3,Automat?,
"Parc Gr?dina Englez? , Strada Cristescu Dima nr. 3","44°26'35.48""","26°08'35.14""",Non-stop,NU,NU,3,Automat?,
Strada Sachelarie Visarion nr. 11,"44°26'31.5""","26°08'10.8""",Non-stop,NU,NU,3,Automat?,
Aleea Avrig nr. 5,"44°26'44.34""","26°07'43.61""",8:00-22:00,NU,NU,5,Automat?,
"Parc Ottoi C?lin , strada Ottoi C?lin Doctor nr. 40","44°26'17.9""","26°08'46.3""",Non-stop,NU,NU,4,Automat?,
"Parc Ziduri Mo?i , strada Ziduri Mo?i nr. 3","44°27'02.74""","26°07'40.94""",8:00-22:00,NU,NU,5,Automat?,
"Parc Plumbuita I , ?oseaua Colentina nr. 58","44°27'55.6""","26°07'59""",Non-stop,NU,DA,5,Automat?,
Aleea Dobrina nr. 5,"44°26'38.22""","26°09'31.84""",Non-stop,NU,DA,5,Automat?,
"Parc Tei, Bd Lacul Tei Nr.144","44°27'50.2""","26°07'26.6""",Non-stop,NU,DA,4,Automat?,
"Parc Tei , B-dul Lacul Tei nr. 143-146","44°27'52.5""","26°07'31""",Non-stop,NU,NU,4,Automat?,
Soseaua Pantelimon x ?oseaua Iancului (Metafora Vie?ii),"44°26'35.84""","26°08'56.72""",8:00-22:00,NU,DA,5,Automat?,
"Parc Morarilor , ?os. Pantelimon nr. 313",44°26'31.20'',26°07'48.25'',Non-stop,NU,NU,2,Automat?,
Strada Turnari,"44°27'09.0""","26°06'18.7""",Non-stop,NU,DA,4,Automat?,
"Parc Sfantul Pantelimon , str. Ciocârliei nr. 103-108",44°26?35.248?,26°10?3.347?,Non-stop,NU,NU,4,Automat?,
"Parc Ciurea , strada Vatra Luminoas?","44° 26 '16.3""","26° 08 '26.6""",Non-stop,NU,NU,5,Automat?,
"Parc Fabrica de Ghea?? , Strada Fabrica de Ghea??","44°28'07.78""","26°08'20.27""",6:00-22:00,NU,NU,3,Automat?,
?oseaua Colentina nr. 1 (bloc 34),44°27?05.86?,26°07?31.90?,Non-stop,NU,NU,4,Automat?,
"Parc Motodrom , ?oseaua Fundeni 281","44,458,925","26,157,831",5:00-24:00,NU,DA,4,Automat?,
Aleea Hobi?a nr. 3,"44,453,055",26.155.277,5:00-24:00,NU,DA,4,Automat?,
Strada Râ?nov x strada Paharnicul Turturea,"4,426,124","2,608,559",5:00-24:00,NU,DA,4,Automat?,
"Parc Cinema Floreasca , strada Giuseppe Garibaldi nr. 5","44°27'45.5""","26°06'18.2""",5:00-24:00,NU,DA,5,Automat?,
Soseaua Andronache x ?oseaua Colentina,"44,46949°","26,14452°",Non-stop,NU,DA,5,Automat?,
Calea Mo?ilor nr. 210,"44°26'34.1""","26°07'03.9""",Non-stop,NU,DA,3,Automat?,
Str. Litovoi Voievod nr. 2,"44°27'25.4""","26°07'52.3""",Non-stop,NU,DA,5,Automat?,
Bd. Dimitrie Pompeiu,"44,47963°","26,11107°",Non-stop,NU,DA,5,Automat?,
Str. Marian Cristescu,"44°27'15.9""","26°09'00.2""",Non-stop,NU,DA,3,Automat?,
"Loc de joac? Strada ?ipca nr. 2, Bucure?ti, Sector 3","44°28'26.0""","26°07'56.9""",Non-stop,NU,NU,2,Ecologic?,
"Parc Petricani, Aleea ?trandul Tei nr. 2, Bucure?ti, Sector 3","44°28'13.6""","26°07'22.3""",Non-stop,NU,NU,3,Ecologic?,
"Parc Dobroie?ti, Bucure?ti, Sector 3",44°26?34.043?,26°10?38.84?,Non-stop,NU,NU,3,Ecologic?,
Parc Circului,"44°27'30.3""","26°06'47""",Non-stop,NU,DA,2,Ecologic?,
Parc Circului,"44°27'30.3""","26°06'47""",Non-stop,NU,NU,2,Ecologic?,
Parc Circului,"44°27'30.3""","26°06'47""",Non-stop,NU,NU,2,Ecologic?,
Parc Circului,"44°27'27.4""","26°06'33.4""",Non-stop,NU,NU,3,Ecologic?,
Parc Circului,"44°27'27.4""","26°06'33.4""",Non-stop,NU,DA,3,Ecologic?,
Parc Circului,"44°27'30.3""","26°06'36.4""",Non-stop,NU,NU,3,Ecologic?,
Parc Circului,"44°27'30.3""","26°06'36.4""",Non-stop,NU,NU,3,Ecologic?,
Parc National,"44° 26' 03.66""","26° 08' 35.05""",Non-stop,NU,NU,2,Automat?,
Parc Lacul Tei,"44° 27' 56,8""","26° 07' 35,0""",-,NU,NU,1,Clasic?,
Parc Lacul Tei,"44° 27' 52,5""","26° 07' 22,1""",-,NU,NU,1,Clasic?,
Parc Circului,"44°27'30.3""","26°06'36.4""",Non-stop,NU,DA,3,Ecologic?,
Arena Na?ional?,"44°26'11.6""","26°09'15.8""",Non-stop,NU,NU,2,Ecologic?,
Parcul Circului,"44°27'25.6""","26°06'32.7""",Non-stop,NU,DA,3,Ecologic?,
Parc Pantelimon,44° 26? 14?,26° 12? 07?,Non-stop,NU,DA,2,Ecologic?,
Arena Na?ional?,"44°26'12.2""","26°09'01.5""",Non-stop,NU,NU,5,Ecologic?,
Biserica Popa Soare (str. D. Burghelea nr.7),"44°26'09.33""","26°07'06.06""",8:00-10:00/12:00,NU,DA,5,Ecologic?,
?coala Gimnazial? de arte (Bd. Ferdinand I nr.128),44°26?53”,26°08?27”,Non-stop,NU,NU,4,Automat?,
?coala Gimnazial? nr.24 (Str. Tunari nr. 52-54),44°27?09.5”,26°06?19”,Non-stop,NU,NU,2,Automat?,
Colegiul Na?ional „Emil Racovi??” (Sos. Mihai Bravu nr.169),"44° 26' 04.0""","26° 08' 34.4""",Non-stop,NU,NU,4,Automat?,
Liceul Tehnologic Sf. Pantelimon (Str. Hambarului nr.12),"44° 26' 05.2""","26° 08' 53.1""",Non-stop,NU,DA,4,Automat?,
